"census_tract","smoke_alarm_risk","tract_pop","blocks_per_tract"
"20209041",0.598269861030389,1728,23
"20209042",0.644927167182597,2058,25
"20209043",0.582243990241585,NA,27
"20209044",0.584487220788499,5529,58
"20209045",0.527418540554338,649,9
"21015070",0.328584230606117,7739,57
"21015980",0.458077713278382,0,1
"21037050",0.536575068465588,804,9
"21037051",0.468327276826637,2178,21
"21037052",0.450707724529203,3527,30
"21037053",0.339115414582441,1715,11
"21117060",0.477799611765252,573,6
"21117061",0.542649620477089,1217,14
"21117063",0.383562086053799,2814,23
"21117064",0.390048436488929,2998,28
"21117065",0.434875916113743,3711,28
"21117066",0.449027871228656,864,7
"21117067",0.504791449824544,465,6
"22051020",0.53881016497364,6138,64
"22051021",0.573614339255491,2626,31
"22051022",0.5253192893948,3200,36
"22051023",0.575642940577536,3768,35
"22051024",0.505185731623952,2541,28
"22051025",0.595607721676444,3574,39
"22051026",0.600656376009376,2114,22
"22051027",0.56152887063236,6261,65
"22051028",0.542772039612568,942,8
"22051980",0.547355923102424,0,1
"22071000",0.560866138837272,NA,68
"22071001",0.552725733530638,6464,97
"22071002",0.551621975221336,2036,45
"22071003",0.538578282670865,2448,44
"22071004",0.569910911812921,NA,20
"22071005",0.472912866396429,1521,22
"22071006",0.593596481670691,845,14
"22071007",0.559037126831343,1915,27
"22071008",0.556194555300788,737,12
"22071009",0.572503199111504,1159,22
"22071010",0.566323764773474,1464,25
"22071011",0.538683941922885,1304,18
"22071012",0.553611813347626,NA,28
"22071013",0.552752340694313,1984,35
"22071014",0.589117392253441,987,17
"22071980",0.584156254265697,3,2
"22075050",0.468744782730312,1542,23
"22087030",0.489197622797756,3528,49
"22103040",0.441774192044935,10074,81
"22103041",0.447343546178523,4828,44
"25005611",0.438714617218944,1576,9
"25005630",0.436604100573353,1799,18
"25005631",0.447617930849537,2773,30
"25005632",0.461115456652855,847,11
"25005633",0.4944745739926,845,5
"25021440",0.406525594091525,502,5
"25027747",0.423173725172356,645,5
"25027748",0.546655901623571,520,2
"28033070",0.36280213293107,8383,56
"28033071",0.233192327360394,1514,10
"29037060",0.489938537078154,5911,38
